IMMR_code,Disease,live_17-49,live_50-69,live_70+,live_NA,live_Total,year
134,Cerebroavascular disease (I60-I69),5308.000000000001,22023.000000000007,19140.999999999975,81.00000000000024,46722.000000000044,2017
135,Atherosclerosis (I70),78.00000000000003,166.0000000000001,61.000000000000014,0,311.0000000000001,2017
136,Arterial embolism and thrombosis (I74),38.00000000000007,69.00000000000003,23,0,131.99999999999994,2017
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",595.0000000000015,1148.0000000000016,489.00000000000045,0,2280,2017
125,Essential hypertension (I10),18835.999999999967,44482.00000000001,28907.99999999997,122.00000000000009,92593.99999999988,2018
126,Hypertensive heart disease (I11),1673.0000000000007,3094.999999999998,1538.0000000000002,8.00000000000002,6328.999999999996,2018
127,Other hypertensive diseases (I12-I15),449.0000000000008,982.9999999999998,517,5.000000000000014,1976.000000000001,2018
128,"Acute myocardial infarction (I21,I22)",7678.999999999998,25140.99999999999,14016.999999999993,51.00000000000003,46942.00000000003,2018
129,"Other ischaemic heart disease (I20,I23-I25)",16004.000000000022,43512.00000000002,22609.99999999997,24.000000000000018,82333.99999999997,2018
130,Pulmonary embolism (I26),163.99999999999983,139.00000000000028,55.99999999999994,1.0000000000000042,371.9999999999998,2018
131,Cor pulmonale (I27.9),79.00000000000001,278.0000000000006,201.99999999999994,3.000000000000001,564.9999999999992,2018
132,Heart failure (I50),1702.9999999999977,7499.000000000002,6787.0000000000055,4.00000000000001,16140.999999999993,2018
134,Cerebroavascular disease (I60-I69),5965.999999999996,24249.00000000004,21229,98.00000000000001,51731.99999999994,2018
135,Atherosclerosis (I70),121.00000000000003,186.00000000000006,65,0,379.0000000000002,2018
136,Arterial embolism and thrombosis (I74),67.00000000000006,53.00000000000014,19.00000000000001,0,142.00000000000023,2018
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",801.9999999999991,1954.0000000000025,846.0000000000005,1.0000000000000004,3658.000000000002,2018
