IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
127,Other hypertensive diseases (I12-I15),170,397.00000000000034,222.00000000000031,1.0000000000000011,802.00000000000034,2018
128,"Acute myocardial infarction (I21,I22)",5575.9999999999973,16741.999999999975,7445,31,29829.000000000007,2018
129,"Other ischaemic heart disease (I20,I23-I25)",8080.0000000000164,22561.999999999996,11109.999999999991,19.000000000000011,41880,2018
130,Pulmonary embolism (I26),61,65.000000000000142,29.99999999999994,1.0000000000000042,163.9999999999998,2018
131,Cor pulmonale (I27.9),52,233.00000000000057,152.99999999999989,3.0000000000000009,442.9999999999992,2018
132,Heart failure (I50),924.99999999999761,4241.0000000000009,3272,2.0000000000000053,8527.9999999999818,2018
134,Cerebroavascular disease (I60-I69),3844.9999999999991,15771.000000000016,11285.000000000004,90,31083.999999999938,2018
135,Atherosclerosis (I70),59,80.999999999999915,37,0,184.00000000000006,2018
136,Arterial embolism and thrombosis (I74),28,34.000000000000071,12.000000000000005,0,76.000000000000128,2018
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",449.99999999999915,1406.0000000000011,579.00000000000011,1.0000000000000004,2464.0000000000018,2018
125,Essential hypertension (I10),7965.0000000000182,19293.000000000015,11813.000000000022,54.000000000000135,39272.999999999964,2019
126,Hypertensive heart disease (I11),845,1409.0000000000005,684.00000000000114,2.000000000000004,2960.0000000000009,2019
127,Other hypertensive diseases (I12-I15),224.00000000000065,503.00000000000142,291.00000000000045,1.0000000000000018,1055.0000000000018,2019
128,"Acute myocardial infarction (I21,I22)",6043.9999999999955,18448.000000000004,8484.9999999999891,38.999999999999915,33064.000000000036,2019
129,"Other ischaemic heart disease (I20,I23-I25)",8572.9999999999909,23346.999999999975,11339.999999999993,23,43399.000000000029,2019
130,Pulmonary embolism (I26),42.000000000000099,99.999999999999915,25.000000000000036,0,166.99999999999957,2019
131,Cor pulmonale (I27.9),27.000000000000046,221.99999999999909,201.99999999999989,4.0000000000000151,458.00000000000011,2019
132,Heart failure (I50),1027.0000000000025,4764.0000000000073,3460.0000000000018,2.0000000000000098,9342.0000000000018,2019
134,Cerebroavascular disease (I60-I69),4204.9999999999909,16835.999999999993,12705.000000000002,80,33945.000000000051,2019
135,Atherosclerosis (I70),37.00000000000005,59.000000000000028,34.000000000000057,0,133.00000000000028,2019
136,Arterial embolism and thrombosis (I74),22,28.000000000000018,12.000000000000007,0,62.999999999999922,2019
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",471.00000000000051,1608.0000000000034,625.9999999999992,0,2731.0000000000009,2019
125,Essential hypertension (I10),6818.0000000000127,16446.000000000004,10201.999999999996,9.0000000000000053,33594.999999999971,2020
126,Hypertensive heart disease (I11),771.00000000000068,1274.0000000000007,620.00000000000011,0,2668.9999999999982,2020
127,Other hypertensive diseases (I12-I15),213.00000000000014,437.00000000000068,225.00000000000011,0,913.00000000000045,2020
