IMMR_code,Disease,live_f_17-49,live_f_50-69,live_f_70+,live_f_NA,live_f_Total,year
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",578.99999999999943,1891.9999999999982,395.00000000000034,0,2879.0000000000018,2016
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),90.000000000000171,292.99999999999972,117.99999999999986,0,539.99999999999932,2016
056,Malignant neoplasm of pancreas (C25),47.000000000000007,149,51.999999999999872,0,254.00000000000026,2016
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",103.9999999999999,222.99999999999991,62.000000000000036,0,397.00000000000068,2016
058,Malignant neoplasm of larnyx (C32),42.000000000000057,102.99999999999982,39,0,185.99999999999977,2016
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",435.99999999999983,1148.0000000000005,275.0000000000004,0,1868.0000000000002,2016
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",1022.9999999999993,105.99999999999979,31,0,1180.0000000000007,2016
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",232.99999999999966,105,30.000000000000021,0,746.00000000000216,2016
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",102.99999999999986,211.00000000000031,106.99999999999973,0,443.9999999999992,2016
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",321.00000000000006,425.0000000000008,89.000000000000114,0,1004.0000000000002,2016
064,Malignant neoplasm of breast (C50),5184.9999999999927,8951.0000000000073,1380.0000000000016,0,15529.000000000025,2016
065,Malignant neoplasm of cervix uteri (C53),1009.0000000000015,2790.0000000000091,620.00000000000034,1.0000000000000038,4426.0000000000055,2016
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",400.00000000000063,1500.0000000000005,279.00000000000017,0,2189.0000000000005,2016
067,Malignant neoplasm of placenta (C58),169.00000000000009,26.000000000000014,0,1.0000000000000031,199.00000000000048,2016
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2208.0000000000005,4861.0000000000018,1004.9999999999999,0,8243.9999999999927,2016
069,Malignant neoplasm of prostate (C61),0,0,0,0,0,2016
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",0,0,0,0,0,2016
071,Malignant neoplasm of bladder (C67),76,241.00000000000065,134.00000000000009,0,453.00000000000028,2016
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",67.000000000000114,197.9999999999998,54,0,417.00000000000028,2016
073,Malignant neoplasm of eye and adnexa (C69),15.000000000000036,23.000000000000057,7.0000000000000133,0,268.0000000000008,2016
074,Malignant neoplasm of brain(C71),290.00000000000068,250.00000000000011,30.000000000000057,0,743.0000000000025,2016
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",43,37,13,0,97.000000000000028,2016
076,Malignant neoplasm of thyroid gland (C73),1020.9999999999987,737.00000000000057,143.99999999999989,0,1921.0000000000018,2016
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",312.99999999999898,574.00000000000148,212.00000000000003,0,1270.9999999999989,2016
078,Hodgkin's disease (C81),255.00000000000006,116.00000000000037,42.000000000000014,0,449.00000000000006,2016
079,Leukaemia (C91-C95),714.00000000000102,732.99999999999977,265.9999999999996,0,4740.0000000000018,2016
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",779.99999999999966,1946.0000000000007,666.99999999999864,0,3518.9999999999959,2016
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",433.00000000000074,1081.9999999999989,382.99999999999943,0,1933.9999999999986,2017
051,Malaignant neoplasm of oesophagus (C15),190.00000000000043,1365.999999999998,741.99999999999898,0,2305.0000000000068,2017
052,Malignant neoplasm of stomach (C16),85.999999999999915,247.99999999999986,81.999999999999886,0,418.99999999999983,2017
053,Malignant neoplasm of colon (C18),614.00000000000045,1753.0000000000018,348.00000000000023,0,2726.0000000000032,2017
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",600.99999999999864,1822.9999999999989,478.99999999999972,0,2918.9999999999941,2017
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),84.000000000000171,192.9999999999996,69.000000000000085,0,378.0000000000004,2017
056,Malignant neoplasm of pancreas (C25),89.000000000000142,171.00000000000031,38.000000000000085,0,297.9999999999996,2017
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",76.000000000000014,300.99999999999886,70,0,453.00000000000011,2017
058,Malignant neoplasm of larnyx (C32),44.000000000000036,124.00000000000041,53,0,222.00000000000014,2017
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",379.00000000000023,1214.9999999999989,308.00000000000085,0,1906.9999999999984,2017
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",667,134,21.000000000000036,0,830.00000000000068,2017
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",161.99999999999977,98.000000000000099,30,0,647.99999999999841,2017
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",76.000000000000256,171.99999999999963,65.999999999999943,0,317.99999999999989,2017
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",313.99999999999972,471.99999999999903,78.000000000000156,0,1020.0000000000015,2017
064,Malignant neoplasm of breast (C50),5070.0000000000027,9216.9999999999873,1497.999999999998,0,15801.999999999962,2017
065,Malignant neoplasm of cervix uteri (C53),1017.0000000000003,2664.0000000000014,693.99999999999955,0,4381.9999999999964,2017
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",375.99999999999983,1637.9999999999998,323.9999999999996,0,2340.9999999999968,2017
067,Malignant neoplasm of placenta (C58),181.00000000000017,10,1.000000000000004,0,202.0000000000006,2017
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2120.9999999999977,5135.9999999999854,1039.0000000000005,0,8421.0000000000182,2017
069,Malignant neoplasm of prostate (C61),0,0,0,0,0,2017
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",0,0,0,0,0,2017
071,Malignant neoplasm of bladder (C67),80,278.99999999999977,167.00000000000026,0,534.00000000000148,2017
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",58.000000000000028,129.0000000000002,45.999999999999915,0,437.99999999999977,2017
073,Malignant neoplasm of eye and adnexa (C69),13.000000000000004,10.000000000000023,8.0000000000000302,0,160.99999999999986,2017
074,Malignant neoplasm of brain(C71),206.00000000000006,179.99999999999977,49,0,609.00000000000068,2017
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",24.000000000000011,20.000000000000021,7,0,56.999999999999936,2017
