IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
071,Malignant neoplasm of bladder (C67),189.00000000000009,1278.999999999998,771.00000000000171,0,2254.000000000005,2015
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",95,250.00000000000023,63.999999999999922,0,518.99999999999977,2015
073,Malignant neoplasm of eye and adnexa (C69),2.0000000000000013,19,3.0000000000000022,0,80.999999999999901,2015
074,Malignant neoplasm of brain(C71),273.00000000000125,375.00000000000074,71.000000000000057,0,890.00000000000011,2015
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",23,28.000000000000082,20,0,72,2015
076,Malignant neoplasm of thyroid gland (C73),179.0000000000006,225.99999999999983,50.00000000000005,0,473.00000000000034,2015
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",445.99999999999932,1284.9999999999982,398.00000000000045,0,2523.0000000000014,2015
078,Hodgkin's disease (C81),300.00000000000074,276.00000000000011,50,0,749.99999999999898,2015
079,Leukaemia (C91-C95),1348.0000000000005,901.99999999999977,348.00000000000034,0,6028.0000000000073,2015
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1071.9999999999986,2217.0000000000036,608.00000000000011,0,4176.9999999999909,2015
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1500.999999999998,5624.0000000000055,1344,0,8536.9999999999927,2016
051,Malaignant neoplasm of oesophagus (C15),300.99999999999972,2398.9999999999986,581.99999999999955,2.0000000000000071,3299.0000000000032,2016
052,Malignant neoplasm of stomach (C16),167.00000000000028,866.00000000000114,216.00000000000017,0,1248.9999999999993,2016
053,Malignant neoplasm of colon (C18),740,1598.9999999999977,376.00000000000011,2.0000000000000071,2732.9999999999945,2016
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",552.0000000000008,2087.9999999999991,557,0,3206.9999999999941,2016
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),76.999999999999943,576,246.99999999999957,0,942.99999999999966,2016
056,Malignant neoplasm of pancreas (C25),69,193.99999999999974,69.000000000000227,0,337.99999999999943,2016
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",56.000000000000114,167.0000000000002,59.000000000000085,0,285.00000000000102,2016
058,Malignant neoplasm of larnyx (C32),162.99999999999915,1214.0000000000023,359.00000000000006,0,1740,2016
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",544.00000000000023,3304.9999999999936,881.00000000000045,0,4750.9999999999991,2016
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",77.999999999999929,108.00000000000014,30.000000000000071,0,229.00000000000003,2016
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",452.00000000000108,193.99999999999989,77.999999999999844,0,1091.9999999999982,2016
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",123.00000000000006,453.00000000000011,150.00000000000003,0,743.9999999999992,2016
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",238.99999999999974,270,77.000000000000085,0,720.00000000000045,2016
