IMMR_code,Disease,live_17-49,live_50-69,live_70+,live_NA,live_Total,year
090E,Unspecified diabetes mellitus (E14),14821.00000000002,33854.000000000015,11900.000000000007,19.000000000000018,61108.999999999956,2019
090A,Insulin-dependent diabetes mellitus (E10),2831.999999999999,5007.999999999996,1799.9999999999995,3,10002,2020
090B,Non-insulin-dependent diabetes mellitus (E11),6335.000000000004,12330.999999999985,3996.9999999999995,21.000000000000014,23111.999999999993,2020
090C,Malnutrition-related diabetes mellitus (E12),146.0000000000001,186.00000000000028,74.00000000000009,0,413.00000000000045,2020
090D,Other specified diabetes mellitus (E13),356.00000000000034,444.99999999999955,154.99999999999994,0,968.9999999999993,2020
090E,Unspecified diabetes mellitus (E14),11828.999999999982,25799.000000000007,9390,16.000000000000014,47479.000000000015,2020
090B,Non-insulin-dependent diabetes mellitus (E11),5021.000000000002,10756.999999999995,3749.000000000001,7.0000000000000036,19834.00000000003,2021
090C,Malnutrition-related diabetes mellitus (E12),67,158.00000000000003,77,0,305,2021
090E,Unspecified diabetes mellitus (E14),7988.000000000004,17328.00000000002,6672.000000000002,10,32373.999999999978,2021
090A,Insulin-dependent diabetes mellitus (E10),2308.9999999999995,4144.999999999996,1622.0000000000005,5.000000000000003,8547.999999999998,2022
090B,Non-insulin-dependent diabetes mellitus (E11),5318,11496.000000000007,4316.000000000006,4.00000000000001,21456.999999999978,2022
090C,Malnutrition-related diabetes mellitus (E12),13.000000000000002,21,9,0,44.00000000000001,2022
090D,Other specified diabetes mellitus (E13),269.9999999999999,511.00000000000006,230,1.0000000000000002,1028.9999999999998,2022
090E,Unspecified diabetes mellitus (E14),8149.000000000006,18708.999999999993,7952.999999999994,8.00000000000001,35311.000000000015,2022
090B,Non-insulin-dependent diabetes mellitus(E11),4184,8108,2921,51,15436,2005
090C,Malnutrition-related diabetes mellitus(E12),564,712,190,1,1536,2005
090E,Unspecified diabetes mellitus(E14),5174,10501,3664,79,19628,2005
090A,Insulin-dependent diabetes mellitus(E10),4769,7082,2375,49,14663,2006
090B,Non-insulin-dependent diabetes mellitus(E11),4930,9604,3575,56,18377,2006
090C,Malnutrition-related diabetes mellitus(E12),184,339,122,11,679,2006
090D,Other specified diabetes mellitus(E13),596,830,331,15,1835,2006
090E,Unspecified diabetes mellitus(E14),6213,12175,4233,38,22875,2006
090B,Non-insulin-dependent diabetes mellitus(E11),4759,9710,3318,62,18056,2007
090C,Malnutrition-related diabetes mellitus(E12),237,517,166,2,941,2007
090E,Unspecified diabetes mellitus(E14),6409,12568,4548,49,23837,2007
090A,Insulin-dependent diabetes mellitus(E10),4493,7213,2297,29,14382,2008
090B,Non-insulin-dependent diabetes mellitus(E11),4339,8672,3054,26,16319,2008
090C,Malnutrition-related diabetes mellitus(E12),309,596,235,0,1179,2008
090D,Other specified diabetes mellitus(E13),479,719,225,0,1448,2008
090E,Unspecified diabetes mellitus(E14),6809,14208,4770,38,26081,2008
090B,Non-insulin-dependent diabetes mellitus(E11),6026,11786,3993,52,22029,2009
090C,Malnutrition-related diabetes mellitus(E12),455,802,339,1,1660,2009
090E,Unspecified diabetes mellitus(E14),8798,16150,5133,86,30528,2009
090A,Insulin-dependent diabetes mellitus(E10),4347,6825,2016,27,13547,2010
090B,Non-insulin-dependent diabetes mellitus(E11),6300,12072,3973,33,22576,2010
090C,Malnutrition-related diabetes mellitus(E12),361,409,194,0,1033,2010
090D,Other specified diabetes mellitus(E13),753,946,355,0,2096,2010
090E,Unspecified diabetes mellitus(E14),9692,17716,5948,64,33832,2010
090B,Non-insulin-dependent diabetes mellitus(E11),6330,12498,3901,14,22919,2011
090C,Malnutrition-related diabetes mellitus(E12),144,236,97,3,488,2011
090E,Unspecified diabetes mellitus(E14),8251,16634,5979,32,31211,2011
090A,Insulin-dependent diabetes mellitus(E10),4305,7471,2818,63,14996,2012
090B,Non-insulin-dependent diabetes mellitus(E11),6632,13745,4273,16,24897,2012
090C,Malnutrition-related diabetes mellitus(E12),129,249,95,5,498,2012
090D,Other specified diabetes mellitus(E13),846,1260,354,2,2508,2012
090E,Unspecified diabetes mellitus(E14),9097,19343,6431,101,35326,2012
090B,Non-insulin-dependent diabetes mellitus(E11),7741,13646,4699,77,26389,2013
090C,Malnutrition-related diabetes mellitus(E12),298,515,304,78,1213,2013
090E,Unspecified diabetes mellitus(E14),9757,19596,6740,41,36549,2013
